horsepower,curb-weight,engine-size,highway-mpg,price
111,2548,130,27,13495.0
111,2548,130,27,16500.0
154,2823,152,26,16500.0
102,2337,109,30,13950.0
115,2824,136,22,17450.0
110,2507,136,25,15250.0
110,2844,136,25,17710.0
110,2954,136,25,18920.0
140,3086,131,20,23875.0
101,2395,108,29,16430.0
101,2395,108,29,16925.0
121,2710,164,28,20970.0
121,2765,164,28,21105.0
121,3055,164,25,24565.0
182,3230,209,22,30760.0
182,3380,209,22,41315.0
182,3505,209,20,36880.0
48,1488,61,53,5151.0
70,1874,90,43,6295.0
70,1909,90,43,6575.0
68,1876,90,41,5572.0
68,1876,90,38,6377.0
102,2128,98,30,7957.0
68,1967,90,38,6229.0
68,1989,90,38,6692.0
68,1989,90,38,7609.0
102,2191,98,30,8558.0
88,2535,122,30,8921.0
145,2811,156,24,12964.0
58,1713,92,54,6479.0
76,1819,92,38,6855.0
60,1837,79,42,5399.0
76,1940,92,34,6529.0
76,1956,92,34,7129.0
76,2010,92,34,7295.0
76,2024,92,34,7295.0
86,2236,110,33,7895.0
86,2289,110,33,9095.0
86,2304,110,33,8845.0
86,2372,110,33,10295.0
101,2465,110,28,12945.0
100,2293,110,31,10345.0
78,2337,111,29,6785.0
90,2734,119,29,11048.0
176,4066,258,19,32250.0
176,4066,258,19,35550.0
262,3950,326,17,36000.0
68,1890,91,31,5195.0
68,1900,91,38,6095.0
68,1905,91,38,6795.0
68,1945,91,38,6695.0
68,1950,91,38,7395.0
101,2380,70,23,10945.0
101,2380,70,23,11845.0
101,2385,70,23,13645.0
135,2500,80,23,15645.0
84,2385,122,32,8845.0
84,2410,122,32,8495.0
84,2385,122,32,10595.0
84,2410,122,32,10245.0
64,2443,122,42,10795.0
84,2425,122,32,11245.0
120,2670,140,27,18280.0
72,2700,134,39,18344.0
123,3515,183,25,25552.0
123,3750,183,25,28248.0
123,3495,183,25,28176.0
123,3770,183,25,31600.0
155,3740,234,18,34184.0
155,3685,234,18,35056.0
184,3900,308,16,40960.0
184,3715,304,16,45400.0
175,2910,140,24,16503.0
68,1918,92,41,5389.0
68,1944,92,38,6189.0
68,2004,92,38,6669.0
102,2145,98,30,7689.0
116,2370,110,30,9959.0
88,2328,122,32,8499.0
145,2833,156,24,12629.0
145,2921,156,24,14869.0
145,2926,156,24,14489.0
88,2365,122,32,6989.0
88,2405,122,32,8189.0
116,2403,110,30,9279.0
116,2403,110,30,9279.0
69,1889,97,37,5499.0
55,2017,103,50,7099.0
69,1918,97,37,6649.0
69,1938,97,37,6849.0
69,2024,97,37,7349.0
69,1951,97,37,7299.0
69,2028,97,37,7799.0
69,1971,97,37,7499.0
