horsepower,curb-weight,engine-size,highway-mpg,price,length,width,bore,wheel-base,city-mpg
111,2548,130,27,13495.0,0.8111484863046613,0.8902777777777777,3.47,88.6,21
111,2548,130,27,16500.0,0.8111484863046613,0.8902777777777777,3.47,88.6,21
154,2823,152,26,16500.0,0.8226814031715521,0.9097222222222222,2.68,94.5,19
102,2337,109,30,13950.0,0.8486304661220567,0.9194444444444445,3.19,99.8,24
115,2824,136,22,17450.0,0.8486304661220567,0.9222222222222223,3.19,99.4,18
110,2507,136,25,15250.0,0.8519942335415667,0.9208333333333333,3.19,99.8,19
110,2844,136,25,17710.0,0.9259971167707832,0.9916666666666667,3.19,105.8,19
110,2954,136,25,18920.0,0.9259971167707832,0.9916666666666667,3.19,105.8,19
140,3086,131,20,23875.0,0.9259971167707832,0.9916666666666667,3.13,105.8,17
101,2395,108,29,16430.0,0.849591542527631,0.8999999999999999,3.5,101.2,23
101,2395,108,29,16925.0,0.849591542527631,0.8999999999999999,3.5,101.2,23
121,2710,164,28,20970.0,0.849591542527631,0.8999999999999999,3.31,101.2,21
121,2765,164,28,21105.0,0.849591542527631,0.8999999999999999,3.31,101.2,21
121,3055,164,25,24565.0,0.9082172032676598,0.9291666666666667,3.31,103.5,20
182,3230,209,22,30760.0,0.9082172032676598,0.9291666666666667,3.62,103.5,16
182,3380,209,22,41315.0,0.9312830370014417,0.9430555555555556,3.62,103.5,16
182,3505,209,20,36880.0,0.9466602594906295,0.9847222222222223,3.62,110.0,15
48,1488,61,53,5151.0,0.6780394041326285,0.8374999999999999,2.91,88.4,47
70,1874,90,43,6295.0,0.7491590581451226,0.8833333333333333,3.03,94.5,38
70,1909,90,43,6575.0,0.7630946660259491,0.8833333333333333,3.03,94.5,38
68,1876,90,41,5572.0,0.7558865929841423,0.8861111111111111,2.97,93.7,37
68,1876,90,38,6377.0,0.7558865929841423,0.8861111111111111,2.97,93.7,31
102,2128,98,30,7957.0,0.7558865929841423,0.8861111111111111,3.03,93.7,24
68,1967,90,38,6229.0,0.7558865929841423,0.8861111111111111,2.97,93.7,31
68,1989,90,38,6692.0,0.7558865929841423,0.8861111111111111,2.97,93.7,31
68,1989,90,38,7609.0,0.7558865929841423,0.8861111111111111,2.97,93.7,31
102,2191,98,30,8558.0,0.7558865929841423,0.8861111111111111,3.03,93.7,24
88,2535,122,30,8921.0,0.8390197020663143,0.8972222222222221,3.34,103.3,24
145,2811,156,24,12964.0,0.8322921672272945,0.9208333333333333,3.6,95.9,19
